date, pm25, o3, no2, so2, co
2021/5/7, 68, 16, , , 12
2021/5/8, 63, , , , 
2021/5/13, 52, 10, , , 9
2021/5/14, 45, 11, , , 9
2021/5/15, 35, 12, , , 9
2021/5/16, 35, 12, , , 9
2021/5/17, 42, 9, , , 10
2021/5/18, 38, 10, , , 9
2021/5/19, 45, 9, , , 9
2021/5/20, 49, 15, , , 9
2021/5/21, 39, , , , 6
2021/5/22, 43, , , , 
2021/5/26, 118, 12, , , 12
2021/5/27, 80, 13, , , 12
2021/5/28, 56, 9, , , 12
2021/5/29, 58, 8, , , 12
2021/5/30, 65, 9, , , 12
2021/5/31, 57, 10, , , 13
2021/6/1, 61, 10, , , 13
2021/6/2, 56, 12, , , 13
2021/6/3, 49, 26, , , 13
2021/6/4, 64, 113, , 12, 21
2021/6/5, 361, , , , 
2021/6/8, 74, 6, , , 
2021/6/9, 47, 8, , , 
2021/6/10, 71, 8, , , 
2021/6/11, 59, 6, , , 
2021/6/12, 50, 3, , , 
2021/6/13, 70, 3, , , 
2021/6/14, 56, 4, , , 
2021/6/15, 60, 5, , , 
2021/6/16, 82, 5, , , 
2021/6/17, 48, 5, , , 1
2021/6/18, 75, 2, , , 
2021/6/19, 73, 4, , , 
2021/6/20, 59, 4, , , 
2021/6/21, 78, 3, , , 
2021/6/22, 91, 3, , , 
2021/6/23, 77, 3, , , 
2021/6/24, 73, 3, , , 
2021/6/25, 65, 4, , , 
2021/6/26, 40, 4, , , 
2021/6/27, 47, 2, , , 
2021/6/28, 55, 2, , , 
2021/6/29, 53, 2, , , 
2021/6/30, 69, 2, , , 
2021/7/1, 52, 1, , , 1
2021/1/5, 58, , , , 9
2021/1/6, 35, , , , 9
2021/1/7, 44, , , , 9
2021/1/8, 43, , , , 9
2021/1/9, 50, , , , 9
2021/1/10, 42, , , , 9
2021/1/11, 53, , , , 9
2021/1/12, 58, , , , 9
2021/1/13, 40, , , , 9
2021/1/14, 40, , , , 9
2021/1/15, 53, , , , 9
2021/1/16, 53, , , , 8
2021/1/17, 32, , , , 9
2021/1/18, 60, , , , 8
2021/1/19, 74, , , , 9
2021/1/20, 43, , , , 9
2021/1/21, 61, , , , 9
2021/1/22, 52, , , , 9
2021/1/23, 66, , , , 9
2021/1/24, 59, , , , 8
